,fr_sentence,mos_sentence
0,Questions des lecteurs,Karemdbã sʋgsgo
1,Comment les chrétiens doivent - ​ ils considérer les fiançailles ?,Hal sẽn ta zĩ - bʋg la kiris - nebã segd n ges tɩ kãadem pʋlengã pa reem yelle ?
2,Le caractère réjouissant des fiançailles ne doit pas faire oublier qu’elles constituent un engagement sérieux .,"Kãadem pʋlengã wata ne sũ - noogo , la a pa reem yell me ye ."
3,Aucun chrétien mûr ne voudra se fiancer à la légère en pensant qu’il peut revenir sur sa promesse à tout moment et à sa guise .,"Kiris - ned ba a ye sẽn bɩ pa segd n ges kãadem pʋleng faasg faasga , n tagsdẽ tɩ wakat buud fãa a tõe n saas - a - la bʋʋm yaalg yĩng ye ."
4,"Par ailleurs , la période des fiançailles permet aux futurs conjoints d’apprendre à mieux se connaître avant de se marier .",Kãadem pʋlengã wakat me yaa sasa neb a yiibã sẽn bãngd taab sõma n paas tɩ b nan pa kẽ kãadem ye .
5,"En examinant ce sujet , nous ne voudrons pas perdre de vue que les coutumes sociales relatives au mariage et aux étapes qui le précèdent varient considérablement selon les lieux et les époques .","Yel - kãngã wɛɛngẽ , yaa d bãng tɩ nebã minung kãadmã wɛɛngẽ , la no - tũudi nins sẽn talld n wa ta zĩ - kãngã wã pa yembr baa bilf zĩig ne a to ye ."
6,La Bible se fait l’écho de cette variété .,Biiblã kõta makr ne rẽ .
7,"Les deux filles de Lot , “ qui n ’ [ avaient ] jamais eu de relations avec un homme ” , étaient fiancées avec des hommes de l’endroit .","Ne manesem buudu , b ra pʋlma a Lot kompugli a yiibã sẽn da nan ‘ ka kul sɩdbã ’ kãadem ne tẽngã roap a yiibu ."
8,"Les ‘ gendres de Lot devaient prendre ses filles ’ , mais la Bible ne nous dit pas pourquoi ni comment les fiançailles avaient été conclues .","A Lot ‘ reem dãmbã ra segd n dɩka a kompugli wã n maan b pagba , ’ la Biiblã pa yet tõnd bũmb ning sẽn kɩt tɩ b maan pʋlemsã , la b sẽn maan - b to - to ye ."
9,Les filles étaient - ​ elles adultes ?,Kompugli wã ra yaa kãsemb bɩ ?
10,Avaient - ​ elles choisi elles - ​ mêmes leur futur mari ?,B ra yãka b sẽn dat n kẽ kãadem ne b rãmbã b toor bɩ ?
11,Les fiançailles avaient - ​ elles eu un caractère public ?,B pʋlem - b - la zãma sʋk bɩ ?
12,Nous l’ignorons .,D pa mi rẽ ye .
13,"En ce qui concerne Jacob , par contre , nous savons qu’il s’est lui - ​ même mis d’accord avec le père de Rachel pour épouser celle - ci au bout de sept années de travail .","( Sɩngre 19 : 8 - 14 ) D sẽn sɩd mi bal yaa t’a Zakoob meng n zems ne a Rasɛll ba wã n na n kẽ kãadem ne a Rasɛlle , a sẽn tʋm yʋʋm a yopoe n kõ - a wã poore ."
14,"Même si Jacob disait “ ma femme ” pour parler de Rachel , ils n’ont pas eu de relations sexuelles durant ces années .","Baa ne a Zakoob sẽn gom a Rasɛll yell n yeel t’a ya a ‘ paga , ’ b ra pa kẽ ne taab yʋʋm kãensã sasa ye ."
15,"Pour sa part , David devait obtenir une victoire sur les Philistins pour pouvoir se marier avec la fille de Saül .","( Sɩngre 29 : 18 - 21 ) Ad makr a to . Nand t’a tõog n kẽ kãadem ne a Saull bipuglã , a Davɩɩd ra tog n tõoga Filisti nebã vugri ."
16,"Ayant accédé à cette exigence , David a pu épouser Mikal .","A sẽn maan a Saull sẽn kos bũmb ningã poore , a Davɩɩd ra tõe n kẽe kãadem ne bipugl a Mikall ."
17,"Ces “ fiançailles ” étaient différentes les unes des autres , et différentes aussi de ce qui est en usage aujourd’hui dans de nombreux pays .","( 1 Sãmwɛll 18 : 20 - 28 ) “ Pʋlems ” kãens pa wõneg taaba , b leb n pa wõneg pʋlems nins sẽn wɛ tẽns wʋsg pʋsẽ rũndã - rũndã wã ye ."
18,"Sous la Loi mosaïque , le mariage et les fiançailles étaient régis par certaines prescriptions .",A Moiiz Tõogã ra tara noy kãadmã la kãadem pʋlemsã wɛɛngẽ .
19,"Par exemple , un homme pouvait avoir plusieurs femmes ; il pouvait divorcer pour divers motifs ( ce qui n’était , semble - ​ t - ​ il , pas le cas de la femme ) .","Wala makre , rao ra tõe n paama sẽn yɩɩd pʋg - yende . A ra tõe n kaoa kãadem bʋʋm toɛ - toɛ yĩnga , baa sẽn wõnd pagã ra pa tõe n maan woto wã ."
20,Un homme qui séduisait une vierge non fiancée devait la prendre pour femme si le père de celle - ci était d’accord et il lui était interdit de divorcer d’avec elle .,"( Yikri 22 : 15 , 16 ; Tõodo 24 : 1 - 4 ) Rao sã n da gãand ne pʋg - sad sẽn pa tar baooda , a ra segd n kẽe kãadem ne - a , pʋg - sadã ba sã n sake , la woto a ra pa tar sor n kaood kãadmã ne - a abada ."
