French,MOSSI
"1  Le livre de l’histoire*+ de Jésus Christ, fils de David+, fils d’Abraham+ : ","1  Seb-kãngã gomda a Zeezi Kirist* vɩɩmã* sẽn yɩ to-to wã yelle. Yẽ yaa a Davɩɩd biiga,* n yaa a Abrahaam biiga. "
 2  Abraham devint père d’*Isaac+ ;Isaac devint père de Jacob+ ;Jacob devint père de Juda+ et de ses frères ;," 2  A Abrahaam n dog a Izaake,t’a Izaak rog a Zakoobe,t’a Zakoob rog a Zida ne a ba-biisã."
 3  Juda devint père de Pérets+ et de Zérah qu’il eut de Tamar ;Pérets devint père de Hetsrôn+ ;Hetsrôn devint père de Ram+ ;," 3  A Zida roga a Perɛɛz ne a Zeera, tɩ b ma yaa a Tamaare.A Perɛɛz roga a Ɛsronne,t’a Ɛsron rog a Ram,"
 4  Ram devint père d’Amminadab ;Amminadab devint père de Nahshôn+ ;Nahshôn devint père de Salmôn+ ;," 4  t’a Ram rog a Aminadaabe,t’a Aminadaab rog a Naasõ,t’a Naasõ rog a Salmo,"
 5  Salmôn devint père de Boaz qu’il eut de Rahab+ ;Boaz devint père d’Obed qu’il eut de Ruth+ ;Obed devint père de Jessé+ ;," 5  t’a Salmo ne a pag a Rahaab rog a Boaaze,t’a Boaaz ne a pag a Rut rog a Obɛɛde,t’a Obɛɛd rog a Zese."
 6  Jessé devint père de David+ le roi+. David devint père de Salomon+ qu’il eut de la femme d’Ouriya* ;," 6  A Zese roga a Davɩɩd sẽn yɩ rĩmã,t’a Davɩɩd ne a Uuri pagã a sẽn dɩkã rog a Salomo."
 7  Salomon devint père de Rehabam*+ ;Rehabam devint père d’Abiya ;Abiya+ devint père d’Asa+ ;," 7  A Salomo roga a Roboam,t’a Roboam rog a Abiya,t’a Abiya rog a Aaza,"
 8  Asa devint père de Yehoshaphat*+ ;Yehoshaphat devint père de Yehoram+ ;Yehoram devint père d’*Ouzziya* ;," 8  t’a Aaza rog a Zozafate,t’a Zozafat rog a Zoram,t’a Zoram rog a Oziyase,"
 9  Ouzziya devint père de Yotham ;Yotham+ devint père d’Ahaz*+ ;Ahaz devint père de Hizqiya*+ ;," 9  t’a Oziyas rog a Zotam,t’a Zotam rog a Akaaze,t’a Akaaz rog a Ezekɩyaase,"
10  Hizqiya devint père de Manassé+ ;Manassé+ devint père d’Amôn+ ;Amôn+ devint père de Yoshiya* ;,"10  t’a Ezekɩyaas rog a Manase,t’a Manase rog a Amo,t’a Amo rog a Zoziyase,"
"11  Yoshiya+ devint père de Yekonia+ et de ses frères, à l’époque de la déportation à Babylone*+. ",11  t’a Zoziyas rog a Zekoniya ne a ba-biisã. Yɩɩ wakat kãng la b sẽn yõg Zʋɩf-rãmbã n kẽng yembd Babilonnã.
