mos,fr,en
Biigã yãbame.,L'enfant a pleuré.,The child wept.
Yik-y-yã. Tʋʋm-y-yã.,Levez-vous. Travaillez.,Stand up. Work!
A Poll la a Zã.,Paul et Jean.,Paul and John.
A yiib la a tã ya a nu.,"Deux et trois, ça fait cinq.",Two and three equals five.
A waame.,Il / elle est venu(e).,He / she came.
A baaba waame.,Son père est venu.,His father came.
A koos-a-la zaamẽ. A koosa wed-moaagã zaamẽ.,Il l'a vendu hier. Il a vendu le cheval hier.,He sold it yesterday. He sold the horse yesterday.
Koomã. Biigã.,Cette eau-là. Cet enfant-là (en question).,The water. The child.
Ra sak tɩ bendr wẽ a bal tɩ f sao a bal ye.,Proverbe : N'accepte pas qu'un tam-tam joue n'importe comment pour que tu danses n'importe comment.,Proverb: Don't accept that a drum is plied no matter how and then you dance no matter how. (You have to know the difference and act accordingly)
"bɩ y tek yam n kos sugri. A sãn ka woto, mam na n waa yãmb nengẽ tao-tao n wa zab ne bãmb.","Change donc d'attitude. Sinon, je viendrai à toi bientôt et je combattrai ces gens.","Therefore repent. If not, I will come to you soon and war against them."
Weer a to.,Une autre fois / moment.,An other time / moment.
Sɛgda a na wa a toore,Cela mérite qu'il vient lui-même.,It is fitting that hi himself comes.
"Ka maand a boto ye, maana a woto.","Ne fais pas comme cela, fais plutôt ainsi.","Don't do it like that, do it lake this."
La pag a ye n dag n be be tɩ bãag tar-a.,"Or, il y avait une femme qui était malade.",And there was a woman who had a disease.
A zagl pa reeg t'a goabg nug kiime ye.,Proverbe : Untel ne veut pas admette que sa main gauche est morte (Sens: ne pas vouloir admettre la vérité/erreurs).,What's-his-name doesn't want to admit that his left hand is dead (i.e. not admitting the truth/errors).
Ad kamba.,Voici des enfants.,Here are children.
Ada yaa mam bi-ribl mam sẽn yãke.,Celui-ci est mon fils élu.,This is my chosen son.
Ad kamba.,Voici des enfants.,Here are children.
Wẽnd na kõ laafɩ. Amina!,«Que Dieu vous donne la santé». «Amen».,«May God give you health». «Amen».
Woto yaa ãnda rẽnda?,Ceci appartient à qui?,Who's is this?
Yaa tɩ-ãsdga.,C'est un arbre facilement cassable.,It's a tree that is easily breakable.
Seobgã kɩtame tɩ tɩɩgã wil bɛd ãs n dʋʋge.,Le vent a fait que la grand branche de l'arbre se casse et tombe par terre.,The wind caused that the big tree branch broke and fell to the ground.
Koomã ãsga pibrã.,L'eau a rompu la digue.,The water broke the dam.
A ma wã gomame n yeel tɩ ayo!  T'a yʋʋr na n yɩ a Zã.,"Sa mère a dit : «Non, il s'appellera Jean.»","His mother answered, “No; he shall be called John.”"
B na n yãaga foo.,Il (mon père) va t'accompagner.,He (my father) will come along with you.
Yeel-b tɩ b wa.,Dis-leur de venir.,Tell them to come
M ba Zã waame.,Mon grand frère Jean est venu.,My elder brother John has come.
Ned ba a ye ka wa ye.,Même pas une personne n'est venue.,Not even one person has come.
Ba t'a wa yã ...,Même s'il est venu ...,Even if he came ...
Bool-ba.,Appelle-les.,Call them.
"Ba ne saagã sẽn niidã, a na n waa ka.",Bien qu'il soit en train de pleuvoir il va venir ici.,Although it is raining he will come here.
Bi-puglã ba-rãmb yɛɛsame.,Les parents de la jeune fille furent étonnés.,The parents of the girls were amazed.
"Ba-yir ka lobgd ne kugr ye, ba-yir lobgda ne tãn-dagre.","On ne lapide pas la patrie avec un caillou, on utilise un morceau de terre. Proverbe (Sens: On doit toujours poser des actions constructives en faveur de son lieu d'origine)","One doesn't throw a stone at ones birthplace, but one throws earth mud. Proverb"
"Bala, baa sobgã ne ko-pɛmã sakda bãmb noore.","Car il commande même au vent et à l'eau, et ils lui obéissent. ","He commands even winds and water, and they obey him."
Da maan-y yɩɩr ne bũmb baa fʋɩ ye.,Ne vous soucieux de rien:,Don't be anxious about anything.
Bi-bãadga. Bi-bẽedga.,Enfant maladif.,Sickly child.
Wa ka !,Viens ici !,Come here !
Wĩn-to-baaga.,Intense chaleur.,Intense heat.
Wẽnd na gãneg-y bãane.,Que Dieu vous couche paisiblement.,May God lay you down quietly.
A zĩnd bãanem.,Il s'est assis tranquillement.,He sat down peacefully.
A baas n kiime?,Est-il mort quand même ?,He died after all?
So-badgã.,La bifurcation de la route.,The road's separation point /bifurcation.
Zĩiga wɩnga baga.,L'endroit a fortement chauffé.,the place got very hot.
Poanda bãka,L'endroit a fortement chauffé.,the place got very hot.
